iter	Passed	Remaining
0	7	7653
1	21	10620
2	33	11045
3	46	11671
4	58	11604
5	70	11680
6	85	12065
7	98	12229
8	109	12110
9	118	11707
10	128	11509
11	137	11347
12	147	11235
13	158	11133
14	168	11073
15	177	10925
16	186	10771
17	194	10615
18	203	10493
19	214	10496
20	224	10468
21	233	10384
22	244	10398
23	253	10312
24	264	10310
25	276	10374
26	290	10466
27	298	10347
28	308	10338
29	320	10363
30	334	10445
31	343	10392
32	354	10392
33	364	10355
34	374	10330
35	382	10249
36	391	10201
37	403	10212
38	414	10204
39	425	10205
40	435	10187
41	446	10195
42	456	10170
43	469	10194
44	479	10180
45	487	10119
46	500	10142
47	509	10108
48	519	10081
49	532	10108
50	540	10056
51	551	10057
52	563	10064
53	572	10026
54	583	10017
55	593	10000
56	605	10011
57	619	10056
58	631	10074
59	645	10111
60	660	10161
61	669	10126
62	679	10104
63	687	10058
64	697	10029
65	707	10015
66	717	9986
67	727	9968
68	741	9999
69	753	10013
70	769	10063
71	782	10082
72	795	10097
73	808	10111
74	820	10122
75	829	10081
76	839	10058
77	847	10021
78	857	9999
79	869	10003
80	882	10007
81	891	9978
82	902	9975
83	913	9958
84	923	9944
85	935	9944
86	948	9955
87	960	9951
88	970	9933
89	979	9899
90	987	9861
91	994	9811
92	1005	9802
93	1015	9784
94	1022	9736
95	1029	9689
96	1041	9695
97	1052	9688
98	1058	9635
99	1066	9598
100	1073	9550
101	1080	9515
102	1087	9472
103	1094	9430
104	1101	9386
105	1108	9349
106	1114	9298
107	1120	9256
108	1129	9236
109	1139	9216
110	1149	9204
111	1157	9178
112	1167	9161
113	1173	9120
114	1183	9108
115	1189	9065
116	1197	9033
117	1205	9007
118	1216	9007
119	1225	8987
120	1231	8947
121	1238	8914
122	1244	8875
123	1253	8854
124	1261	8830
125	1270	8810
126	1282	8815
127	1294	8819
128	1301	8789
129	1310	8767
130	1319	8752
131	1328	8732
132	1334	8699
133	1342	8677
134	1352	8668
135	1358	8633
136	1371	8640
137	1378	8612
138	1386	8588
139	1395	8570
140	1404	8554
141	1419	8578
142	1430	8572
143	1441	8569
144	1453	8571
145	1464	8567
146	1480	8589
147	1489	8573
148	1497	8550
149	1508	8545
150	1517	8531
151	1528	8526
152	1539	8520
153	1551	8524
154	1565	8532
155	1572	8506
156	1580	8487
157	1587	8459
158	1595	8436
159	1602	8413
160	1611	8397
161	1619	8375
162	1627	8355
163	1635	8336
164	1642	8313
165	1652	8303
166	1664	8301
167	1675	8300
168	1687	8298
169	1699	8297
170	1709	8287
171	1720	8281
172	1728	8264
173	1738	8254
174	1752	8262
175	1763	8258
176	1774	8250
177	1784	8239
178	1793	8228
179	1803	8217
180	1813	8207
181	1821	8186
182	1829	8168
183	1836	8143
184	1844	8124
185	1854	8115
186	1862	8099
187	1874	8097
188	1886	8094
189	1898	8091
190	1911	8094
191	1922	8088
192	1932	8081
193	1943	8075
194	1953	8065
195	1963	8055
196	1975	8051
197	1987	8049
198	1999	8046
199	2009	8039
200	2022	8038
201	2032	8030
202	2043	8021
203	2055	8020
204	2066	8013
205	2079	8016
206	2088	8002
207	2100	7997
208	2110	7985
209	2122	7984
210	2132	7974
211	2140	7955
212	2150	7946
213	2158	7928
214	2168	7917
215	2178	7907
216	2187	7893
217	2196	7879
218	2204	7862
219	2282	8092
220	2317	8169
221	2327	8155
222	2337	8143
223	2346	8129
224	2354	8109
225	2362	8091
226	2372	8077
227	2382	8065
228	2390	8049
229	2398	8030
230	2407	8013
231	2416	7998
232	2427	7989
233	2435	7972
234	2451	7978
235	2461	7968
236	2471	7958
237	2483	7950
238	2493	7938
239	2505	7933
240	2514	7919
241	2524	7907
242	2531	7887
243	2540	7872
244	2550	7859
245	2559	7845
246	2568	7829
247	2578	7819
248	2587	7802
249	2593	7781
250	2601	7761
251	2609	7744
252	2616	7725
253	2624	7708
254	2632	7690
255	2638	7669
256	2646	7651
257	2657	7643
258	2664	7623
259	2675	7615
260	2684	7600
261	2696	7594
262	2708	7589
263	2722	7590
264	2732	7579
265	2740	7563
266	2749	7548
267	2757	7531
268	2776	7545
269	2784	7527
270	2791	7510
271	2801	7496
272	2807	7477
273	2816	7463
274	2844	7499
275	2852	7481
276	2860	7466
277	2870	7453
278	2879	7442
279	2890	7431
280	2901	7424
281	2912	7416
282	2924	7408
283	2937	7404
284	2947	7394
285	2957	7383
286	2965	7367
287	2975	7356
288	2983	7340
289	2992	7326
290	3000	7311
291	3009	7298
292	3019	7285
